problem_id,task_id,problem_label,problem_complexity,ast_depth,branch_count,loop_count,function_count,control_flow_ratio,functional_pass_rate,ssi,pssi,sds,structural_variance
humaneval_076,HumanEval/76,HE-76,14.111514613333332,7.72,4.08,1.2,1.0,0.11151461333333333,0.9866666666666667,0.6933399793336718,1.1547996889459753,1.0014349034944852,0.3275762702645882
humaneval_077,HumanEval/77,HE-77,12.427816173333333,8.666666666666666,2.026666666666667,0.68,1.0,0.05448284,1.0,0.6972217504363816,0.894610774528874,0.8283516053507389,0.17014003842011163
humaneval_078,HumanEval/78,HE-78,11.340597946666668,8.226666666666667,1.2266666666666666,0.8266666666666667,1.0,0.06059794666666667,1.0,0.8007319280713049,1.2458753781664507,1.0211474293600733,0.24949145142445328
humaneval_079,HumanEval/79,HE-79,12.1704382,8.813333333333333,1.6266666666666667,0.6666666666666666,1.0,0.06377153333333334,1.0,0.821238215093701,0.7193638045926826,0.6036738602807936,0.09339621508908064
humaneval_080,HumanEval/80,HE-80,14.938485653333334,10.106666666666667,2.533333333333333,1.2266666666666666,1.0,0.07181898666666667,1.0,0.8905682184077679,0.7397685702326284,0.5350502635356479,0.1179826627736565
humaneval_081,HumanEval/81,HE-81,28.95351602666667,16.69333333333333,9.88,1.28,1.0266666666666666,0.07351602666666666,0.92,0.7435121852440921,2.6208056284719814,2.3115416840244927,1.7094547776477527
humaneval_082,HumanEval/82,HE-82,14.28835156,8.733333333333333,3.2933333333333334,1.12,1.0266666666666666,0.11501822666666667,1.0,0.7988336155666171,0.8358648472457183,0.7129428816093468,0.14530857234201458
humaneval_083,HumanEval/83,HE-83,10.991806773333332,8.146666666666667,1.7066666666666668,0.06666666666666667,1.0,0.07180677333333332,0.8933333333333333,0.6814799711759699,0.932476109438186,0.8209142338748792,0.17254180815449527
humaneval_084,HumanEval/84,HE-84,12.638531133333334,10.0,1.3066666666666666,0.29333333333333333,1.0,0.038531133333333335,0.8266666666666667,0.7701359237118697,1.1438236321271533,0.9163188877410177,0.24805584825727445
humaneval_085,HumanEval/85,HE-85,12.34846724,9.72,0.96,0.6266666666666667,1.0,0.041800573333333334,1.0,0.8562328446429722,1.016128137528981,0.7562940082615998,0.16534227471704677
humaneval_086,HumanEval/86,HE-86,11.718661133333333,9.093333333333334,0.72,0.8266666666666667,1.04,0.03866113333333333,1.0,0.7938457395614109,1.0075111082634052,0.792878983881033,0.20932482920251658
